industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
saas,6,claude-sonnet-5,15,4,0,4.0,False,3.87,4.0,4.0,4.0,1.0,1.0,1.0,0.967
consulting,1,grok-4.5,15,9,0,9.0,False,7.6,8.83,9.0,9.0,0.981,1.0,1.0,0.861
healthtech,0,gpt-5.6-luna,15,4,0,4.0,False,3.27,3.98,4.0,4.0,0.995,1.0,1.0,0.82
fintech,6,sonar,15,2,0,2.0,False,1.53,1.99,2.0,2.0,0.997,1.0,1.0,0.769
fintech,1,sonar,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
healthtech,7,claude-sonnet-5,15,2,0,2.0,False,1.2,1.74,1.98,2.0,0.868,0.989,1.0,0.691
ecommerce,0,gpt-5.6-luna,15,4,2,4.93,True,1.8,2.67,3.33,4.0,0.54,0.676,0.811,0.675
fintech,3,claude-sonnet-5,15,4,1,4.0,True,2.67,3.33,3.67,4.0,0.833,0.917,1.0,0.8
saas,1,gpt-5.6-luna,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
consulting,6,gpt-5.6-luna,15,10,1,10.0,True,7.07,9.06,9.64,10.0,0.906,0.964,1.0,0.78
healthtech,8,grok-4.5,15,3,1,3.0,True,2.07,2.33,2.67,3.0,0.778,0.889,1.0,0.886
saas,4,gpt-5.6-luna,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
healthtech,9,sonar,15,1,0,1.0,False,0.93,1.0,1.0,1.0,1.0,1.0,1.0,0.933
healthtech,0,grok-4.5,15,4,0,4.0,False,2.6,3.55,3.9,4.0,0.888,0.976,1.0,0.732
saas,4,mistral-large,15,4,2,4.93,True,1.33,2.4,3.31,4.0,0.487,0.671,0.811,0.555
fintech,8,mistral-large,15,9,2,10.87,True,5.6,7.15,8.24,9.0,0.658,0.758,0.828,0.783
consulting,7,grok-4.5,15,9,1,9.0,True,7.93,8.33,8.67,9.0,0.926,0.963,1.0,0.952
healthtech,0,claude-sonnet-5,15,4,0,4.0,False,2.8,3.92,4.0,4.0,0.979,1.0,1.0,0.715
fintech,6,gemini-3.7-flash,15,8,0,8.0,False,5.6,7.98,8.0,8.0,0.997,1.0,1.0,0.702
consulting,4,claude-sonnet-5,15,6,1,6.0,True,3.67,5.07,5.64,6.0,0.845,0.941,1.0,0.724
